Wurfl_Id,wurfl_device_id,wurfl_fall_back,brand_name,model_name,marketing_name,SubMethod_Displayed,SubMethod_SubscribedTo,SubMethod,Visits,Visits_ToOperatorSelection,Visits_ToOperatorSelectionOnly,Submission_OperatorSelection,Visits_ToLandingPage,Submissions,Subscribers,device_os,device_os_version,release_date,mobile_browser
7198,nokia_n73_ver1_sub40727221,nokia_n73_ver1,Nokia,N73,,NULL,NULL,NULL,30,0,0,0,30,0,0,Symbian OS,9.1,2005_november,Nokia
7198,nokia_n73_ver1_sub40727221,nokia_n73_ver1,Nokia,N73,,3,NULL,CLICKTAG,20,0,0,0,20,0,0,Symbian OS,9.1,2005_november,Nokia
7209,nokia_6630_ver1_sub60340,nokia_6630_ver1,Nokia,6630,,3,NULL,CLICKTAG,11,0,0,0,11,0,0,Symbian OS,8,2004_june,Nokia
7209,nokia_6630_ver1_sub60340,nokia_6630_ver1,Nokia,6630,,NULL,NULL,NULL,14,0,0,0,14,0,0,Symbian OS,8,2004_june,Nokia
7214,nokia_6131_ver1_sub0610,nokia_6131_ver1,Nokia,6131,,3,NULL,CLICKTAG,21,0,0,0,21,0,0,,,2006_february,Nokia
7214,nokia_6131_ver1_sub0610,nokia_6131_ver1,Nokia,6131,,NULL,NULL,NULL,6,0,0,0,6,0,0,,,2006_february,Nokia
7221,sonyericsson_w910i_ver1_subr1ab,sonyericsson_w910i_ver1,SonyEricsson,W910i,,NULL,NULL,NULL,2,0,0,0,2,0,0,,,2007_june,Access Netfront
7221,sonyericsson_w910i_ver1_subr1ab,sonyericsson_w910i_ver1,SonyEricsson,W910i,,3,NULL,CLICKTAG,2,0,0,0,2,0,0,,,2007_june,Access Netfront
7237,nokia_n95_ver1_sub_mozilla_c200015,nokia_n95_ver1_sub_mozilla_c,Nokia,N95,,3,3,CLICKTAG,6,0,0,0,6,6,6,Symbian OS,9.2,2006_september,Safari
7237,nokia_n95_ver1_sub_mozilla_c200015,nokia_n95_ver1_sub_mozilla_c,Nokia,N95,,NULL,NULL,NULL,18,0,0,0,18,0,0,Symbian OS,9.2,2006_september,Safari
7237,nokia_n95_ver1_sub_mozilla_c200015,nokia_n95_ver1_sub_mozilla_c,Nokia,N95,,3,NULL,CLICKTAG,41,0,0,0,41,0,0,Symbian OS,9.2,2006_september,Safari
7239,nokia_n95_ver1_sub_8gb_fl3,nokia_n95_8gb_ver1,Nokia,N95 8GB,,3,NULL,CLICKTAG,40,0,0,0,40,0,0,Symbian OS,9.2,2007_august,Safari
7239,nokia_n95_ver1_sub_8gb_fl3,nokia_n95_8gb_ver1,Nokia,N95 8GB,,3,3,CLICKTAG,3,0,0,0,3,3,3,Symbian OS,9.2,2007_august,Safari
7239,nokia_n95_ver1_sub_8gb_fl3,nokia_n95_8gb_ver1,Nokia,N95 8GB,,NULL,NULL,NULL,43,0,0,0,43,0,0,Symbian OS,9.2,2007_august,Safari
7240,nokia_n82_ver1_sub100046,nokia_n82_ver1,Nokia,N82,,NULL,NULL,NULL,7,0,0,0,7,0,0,Symbian OS,9.2,2007_november,Safari
7240,nokia_n82_ver1_sub100046,nokia_n82_ver1,Nokia,N82,,3,NULL,CLICKTAG,10,0,0,0,10,0,0,Symbian OS,9.2,2007_november,Safari
7311,nokia_n81_ver1_sub110045_subnorthamerica,nokia_n81_ver1_sub110045,Nokia,N81,,NULL,NULL,NULL,14,0,0,0,14,0,0,Symbian OS,9.2,2007_august,Safari
7311,nokia_n81_ver1_sub110045_subnorthamerica,nokia_n81_ver1_sub110045,Nokia,N81,,3,NULL,CLICKTAG,10,0,0,0,10,0,0,Symbian OS,9.2,2007_august,Safari
7320,nokia_n73_ver1_sub2,nokia_n73_ver1,Nokia,N73-2,,9,NULL,JAVA_APP,1,0,0,0,1,0,0,Symbian OS,9.1,2005_november,Nokia
7320,nokia_n73_ver1_sub2,nokia_n73_ver1,Nokia,N73-2,,9,9,JAVA_APP,1,0,0,0,1,1,1,Symbian OS,9.1,2005_november,Nokia
7320,nokia_n73_ver1_sub2,nokia_n73_ver1,Nokia,N73-2,,NULL,NULL,NULL,2,0,0,0,2,0,0,Symbian OS,9.1,2005_november,Nokia
7327,nokia_e51_ver1_sub11003420,nokia_e51_ver1,Nokia,E51,,3,3,CLICKTAG,1,0,0,0,1,1,1,Symbian OS,9.2,2007_september,Safari
